BAD,LOAN,MORTDUE,VALUE,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860,39025,Other,10.5,0,0,94.36666667,1,9,
1,1300,70053,68400,Other,7,0,2,121.8333333,0,14,
1,1500,13500,16700,Other,4,0,0,149.4666667,1,10,
1,1500,,,,,,,,,,
0,1700,97800,112000,Office,3,0,0,93.33333333,0,14,
1,1700,30548,40320,Other,9,0,0,101.4660019,1,8,37.11361356
1,1800,48649,57037,Other,5,3,2,77.1,1,17,
1,1800,28502,43034,Other,11,0,0,88.76602988,0,8,36.88489409
1,2000,32700,46740,Other,3,0,2,216.9333333,1,12,
1,2000,,62250,Sales,16,0,0,115.8,0,13,
1,2000,22608,,,18,,,,,,
1,2000,20627,29800,Office,11,0,1,122.5333333,1,9,
1,2000,45000,55000,Other,3,0,0,86.06666667,2,25,
0,2000,64536,87400,Mgr,2.5,0,0,147.1333333,0,24,
1,2100,71000,83850,Other,8,0,1,123,0,16,
1,2200,24280,34687,Other,,0,1,300.8666667,0,8,
1,2200,90957,102600,Mgr,7,2,6,122.9,1,22,
1,2200,23030,,,19,,,,,,3.7113123
1,2300,28192,40150,Other,4.5,0,0,54.6,1,16,
0,2300,102370,120953,Office,2,0,0,90.99253347,0,13,31.58850318
1,2300,37626,46200,Other,3,0,1,122.2666667,1,14,
1,2400,50000,73395,ProfExe,5,1,0,,1,0,
1,2400,28000,40800,Mgr,12,0,0,67.2,2,22,
1,2400,18000,,Mgr,22,,2,121.7333333,0,10,
1,2400,,17180,Other,,0,0,14.56666667,3,4,
1,2400,34863,47471,Mgr,12,0,0,70.49108003,1,21,38.26360073
0,2400,98449,117195,Office,4,0,0,93.81177486,0,13,29.68182705
1,2500,15000,20200,,18,0,0,136.0666667,1,19,
1,2500,25116,36350,Other,10,1,2,276.9666667,0,9,
0,2500,7229,44516,Self,,0,0,208,0,12,
0,2500,71408,78600,ProfExe,8,0,0,255.7333333,0,12,
1,2800,50795,63100,Self,26,2,15,145.6333333,3,45,
1,2800,4000,60850,Other,16,4,0,112.6333333,2,9,
1,2900,78600,113000,ProfExe,6,1,0,165.3333333,2,26,
0,2900,103949,112505,Office,1,0,0,96.10232967,0,13,30.05113629
0,2900,104373,120702,Office,2,0,0,101.5402975,0,13,29.91585903
1,2900,7750,67996,Other,16,3,0,122.2046628,2,8,36.211348
1,2900,61962,70915,Mgr,2,0,0,282.8016592,3,37,49.20639579
0,3000,104570,121729,Office,2,0,0,85.8843719,0,14,32.05978327
1,3000,7000,20300,Other,3,0,0,50.8,5,9,
1,3000,,8800,Other,2,0,1,77.76666667,0,3,
1,3000,,33000,Other,1,0,1,23.3,1,2,
1,3000,119826,193500,Other,8,0,0,130.0333585,0,27,
1,3000,20000,29750,Other,2,0,0,187.0666667,0,12,
1,3000,,14500,Other,3,0,0,9.3,14,2,
1,3000,,14100,Other,1,0,0,104.2,0,19,
1,3000,47000,82700,ProfExe,10,0,1,262.1666667,5,26,
1,3000,34542,45900,Mgr,8.5,0,2,62.36666667,0,10,
0,3000,58000,71500,Mgr,10,,2,211.9333333,0,25,
0,3000,47000,56400,Office,21,0,0,201.8666667,0,20,
1,3100,39589,36100,Other,1.5,0,0,153.1666667,1,14,
0,3100,,70400,,,,,,,,
0,3200,67848,74566,Mgr,10,,1,206.4266021,0,25,40.11567728
1,3200,48603,61000,ProfExe,28,0,4,122.0333333,1,25,
1,3200,27200,40834,Other,,0,0,298.131564,0,7,35.55353879
1,3200,54000,64850,Other,1,0,0,121.8666667,3,21,
0,3200,74864,87266,ProfExe,7,0,0,250.6312692,0,12,42.90999735
1,3200,23159,,Mgr,20,,2,117.8057478,0,9,0.524499215
1,3300,126541,134527,Sales,9,1,0,139,0,36,
1,3300,130518,164317,Other,9,0,6,192.289149,0,33,35.73055919
1,3400,37000,52000,Office,2,0,1,183.2999156,0,6,
1,3500,23200,38666,Other,11,0,0,162.3666667,0,14,
1,3500,19400,20494,Other,5,0,0,95.93333333,0,9,
1,3600,61584,61800,ProfExe,10,,,,,,
1,3600,41900,52490,Mgr,3,0,0,72.03333333,2,4,
0,3600,83700,111800,ProfExe,6,0,0,192.7333333,1,28,
0,3600,61327,76484,Mgr,9,,2,202.5107752,0,25,41.5163897
0,3600,100693,114743,Office,6,0,0,88.47045214,0,14,29.39354338
1,3600,48507,61000,Office,13,1,4,97.4,0,17,
0,3600,52337,63989,Office,20,0,0,204.2724988,0,20,20.47091551
1,3700,17857,21144,Other,5,0,0,129.7173231,1,9,26.63434752
1,3800,19135,97692,Mgr,1.6,1,6,252.6333333,1,25,
0,3800,51180,63459,Office,20,0,0,203.7515336,0,20,20.06704205
0,3800,,73189,,,,,,,,22.25394916
0,3800,11543,46045,Self,,0,0,204.6479917,0,11,42.17316588
1,3900,29896,45960,Other,11,0,0,146.1232422,0,14,24.47888119
1,3900,14500,22092,Other,3.5,0,1,150.3,5,8,
0,3900,52825,63000,ProfExe,8,0,4,171.6666667,1,31,
0,3900,102143,118742,Office,2,0,0,85.27736558,0,13,29.34392109
1,3900,21200,39000,Mgr,4,0,1,86.56666667,2,14,
0,4000,105164,112774,Office,1,0,0,94.72487417,0,13,29.39092806
0,4000,54543,61777,Office,21,0,0,205.58668,0,19,21.80656346
1,4000,,80609,Other,1.5,0,2,126.5333333,3,12,
1,4000,26572,31960,Office,11,0,0,117.7951039,0,8,41.28649195
1,4000,17000,52012,ProfExe,22,3,1,85.33333333,1,9,
1,4000,29562,37200,Other,6,0,0,92.13333333,1,26,
1,4000,41700,76725,Other,0.5,0,3,136.1333333,0,15,
1,4000,58000,69440,Other,3.5,0,1,168.6666667,0,18,
1,4000,5700,18000,Other,,0,0,12.2,0,17,
1,4000,45000,58350,Mgr,3.5,0,0,162,3,16,
1,4000,7000,16020,Other,18,0,1,85.8,2,23,
0,4000,66000,79050,Other,1.8,2,0,279,1,6,
0,4000,,45760,,0,0,0,,0,0,
0,4000,62000,78000,Other,4,0,0,109.5666667,0,15,
0,4000,64240,63990,Sales,5,2,0,160.3,1,23,
1,4000,74000,93000,ProfExe,2.6,1,3,186.6333333,,9,
1,4000,55000,59000,Other,12,2,0,146.1,0,22,
0,4000,67625,80698,Mgr,11,,1,212.3493039,0,25,39.12871763
0,4000,67533,71865,Mgr,10,,2,227.7929884,0,25,39.1663287
1,4100,,19132,Other,0,0,0,100.7746522,0,19,33.8409199
1,4100,58500,65000,Other,8,1,2,63.93333333,2,15,
0,4100,57992,63797,ProfExe,7,0,4,165.505037,1,31,22.27817437
0,4200,56544,59218,Office,19,0,0,211.0025991,1,20,19.02770443
1,4200,34800,50225,Other,2,1,0,93.5,1,5,
0,4200,67700,77000,Sales,4,0,0,128.8333333,0,31,
0,4200,44000,55085,,6,,1,75.43333333,,16,
0,4200,66272,82953,Other,3,0,0,110.2786626,0,15,43.45058791
0,4200,50216,58541,Office,19,0,0,209.8713022,0,19,20.20803267
0,4300,71206,78698,Sales,3,0,0,129.932869,0,31,34.18137652
0,4300,68815,79852,Other,6,0,0,105.1207088,0,14,41.80637615
0,4300,72021,80027,Other,2,2,0,263.9703003,0,5,36.43209394
0,4400,53969,63869,ProfExe,7,0,3,162.3900107,0,30,23.58107924
0,4400,,60250,,,,,,,,
1,4400,53091,64074,Office,14,1,3,89.86105825,0,17,39.15808483
0,4500,66127,79087,Other,4,1,0,81.3490651,0,15,40.70530876
0,4500,,77182,,,,,,,,25.2272529
1,4500,39000,66000,Other,1,0,0,170.3666667,1,19,
0,4500,71082,79247,Other,4,0,0,118.7604101,0,14,41.42111052
0,4500,,49044,,0,0,0,,0,0,11.6527388
1,4500,57000,,Other,5,,,222.6,1,13,
1,4500,34184,46000,Mgr,3.5,0,1,122.6,2,22,
1,4500,66517,87000,ProfExe,10,0,4,125.8,0,34,
0,4500,45500,50000,Other,6,0,0,86.16666667,0,18,
1,4500,118000,146870,ProfExe,4.5,2,0,203.8666667,1,20,
1,4500,90000,105800,Other,6,2,3,80.1,3,10,
0,4700,67913,97205,Mgr,2,0,0,142.8243915,0,24,35.22699719
0,4700,71855,88566,Other,2,2,0,283.9595381,0,5,36.47547328
0,4700,53918,59511,,6,,0,54.13647743,,15,34.41650781
1,4700,49100,58238,ProfExe,0.1,0,0,61.8,2,17,
0,4700,88026,115506,ProfExe,6,0,0,182.2483316,0,27,29.20902258
1,4700,26900,45000,ProfExe,9,1,2,90.46666667,1,16,
0,4800,67317,97191,Mgr,3,0,0,137.3197248,0,23,34.27529378
0,4800,56067,63102,ProfExe,9,0,3,160.1463113,1,30,21.58376012
0,4800,80482,88342,ProfExe,7,0,0,275.0323948,0,11,43.71763511
0,4900,58688,63348,ProfExe,9,0,3,179.1625747,2,31,22.54439284
0,4900,65873,90408,Mgr,2,0,0,141.858999,0,23,37.76961861
1,4900,25597,23031,Other,5,0,0,101.7467664,0,8,33.24315698
0,4900,67794,84630,Other,4,0,0,112.5734189,0,15,41.67399636
1,4900,44000,59745,Other,10,0,0,81.5,3,13,
0,4900,,28437.5,,,,,,,,
0,4900,170986,245300,Sales,,0,0,131.9333333,0,22,
1,4900,65576,65774,Other,6,1,2,61.64250608,1,14,40.59091002
0,4900,57461,68494,ProfExe,8,0,4,183.6356132,0,30,22.79542355
0,4900,,69706,,,,,,,,33.70558774
0,5000,,34846,,,,,,,,33.35465263
0,5000,47479,61690,,5,,0,65.03296901,,16,36.69941492
0,5000,66839,87168,Other,4,0,0,122.5972226,0,15,40.61677935
